Project,Experiment,SPNID,Name,First Author,Year,Journal,Title,Authors,ReferencesAndLinks
13,EX2 Col Task,77,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX2 Col Task,78,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX2 Col Task,79,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX2 Col Task,80,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX3 Sound Col Cong,81,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX3 Sound Col Cong,82,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX3 Sound Col Cong,83,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX3 Sound Col Cong,84,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX3 Sound Col Cong,85,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,86,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,87,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,88,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,89,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX4 Direction Col Cong,90,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,91,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,92,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,93,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,94,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX5 Distribution Task,95,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
14,EX1 Disc Reg,96,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX1 Disc Reg,97,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX1 Disc Reg,98,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX2 Disc Col,99,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX2 Disc Col,100,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX2 Disc Col,101,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX3 Disc Col Control,102,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX3 Disc Col Control,103,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX3 Disc Col Control,104,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
15,N/A,105,Glasses,Rampone,2020,EJN,Electrophysiological responses to regularity show specificity to global form: The case of Glass patterns,"Rampone, G. and Makin, A. D. J.",10.1111/ejn.14709
15,N/A,106,Glasses,Rampone,2020,EJN,Electrophysiological responses to regularity show specificity to global form: The case of Glass patterns,"Rampone, G. and Makin, A. D. J.",10.1111/ejn.14709
15,N/A,107,Glasses,Rampone,2020,EJN,Electrophysiological responses to regularity show specificity to global form: The case of Glass patterns,"Rampone, G. and Makin, A. D. J.",10.1111/ejn.14709
15,N/A,108,Glasses,Rampone,2020,EJN,Electrophysiological responses to regularity show specificity to global form: The case of Glass patterns,"Rampone, G. and Makin, A. D. J.",10.1111/ejn.14709
16,N/A,109,SPN priming black to white,Makin ,2020,EJN,Electrophysiological priming effects confirm that the extrastriate symmetry network is not gated by luminance polarity,"Makin, A. D. J., Piovesan, A., Tyson-Carr, J., Rampone, G., Derpsch, Y. and Bertamini, M.",10.1111/ejn.14966
16,N/A,110,SPN priming black to white,Makin ,2020,EJN,Electrophysiological priming effects confirm that the extrastriate symmetry network is not gated by luminance polarity,"Makin, A. D. J., Piovesan, A., Tyson-Carr, J., Rampone, G., Derpsch, Y. and Bertamini, M.",10.1111/ejn.14966
16,N/A,111,SPN priming black to white,Makin ,2020,EJN,Electrophysiological priming effects confirm that the extrastriate symmetry network is not gated by luminance polarity,"Makin, A. D. J., Piovesan, A., Tyson-Carr, J., Rampone, G., Derpsch, Y. and Bertamini, M.",10.1111/ejn.14966
16,N/A,112,SPN priming black to white,Makin ,2020,EJN,Electrophysiological priming effects confirm that the extrastriate symmetry network is not gated by luminance polarity,"Makin, A. D. J., Piovesan, A., Tyson-Carr, J., Rampone, G., Derpsch, Y. and Bertamini, M.",10.1111/ejn.14966
17,N/A,113,John BW,Bertamini ,2020,Vis Res,The response to symmetry in extrastriate areas and its time course are modulated by selective attention,"Bertamini, M., Rampone, G., Tyson-Carr, J. and Makin, A. D. J.",10.1016/j.visres.2020.09.003
17,N/A,114,John BW,Bertamini ,2020,Vis Res,The response to symmetry in extrastriate areas and its time course are modulated by selective attention,"Bertamini, M., Rampone, G., Tyson-Carr, J. and Makin, A. D. J.",10.1016/j.visres.2020.09.003
17,N/A,115,John BW,Bertamini ,2020,Vis Res,The response to symmetry in extrastriate areas and its time course are modulated by selective attention,"Bertamini, M., Rampone, G., Tyson-Carr, J. and Makin, A. D. J.",10.1016/j.visres.2020.09.003
18,EX1 Ref and Ident,116,SPN priming,Makin ,under review,PLOSONE,,,
18,EX1 Ref and Ident,117,SPN priming,Makin ,under review,PLOSONE,,,
18,EX1 Ref and Ident,118,SPN priming,Makin ,under review,PLOSONE,,,
18,EX2 Left and Right With Eye Tracking,119,SPN priming,Makin ,under review,PLOSONE,,,
18,EX2 Left and Right With Eye Tracking,120,SPN priming,Makin ,under review,PLOSONE,,,
18,EX2 Left and Right With Eye Tracking,121,SPN priming,Makin ,under review,PLOSONE,,,
18,EX2 Left and Right With Eye Tracking,122,SPN priming,Makin ,under review,PLOSONE,,,
18,EX3 Ref Unpredictable Ori,123,SPN priming,Makin ,under review,PLOSONE,,,
18,EX3 Ref Unpredictable Ori,124,SPN priming,Makin ,under review,PLOSONE,,,
18,EX4 Ref Vert and Horz,125,SPN priming,Makin ,under review,PLOSONE,,,
18,EX4 Ref Vert and Horz,126,SPN priming,Makin ,under review,PLOSONE,,,
18,EX5 Ref and Rot,127,SPN priming,Makin ,under review,PLOSONE,,,
18,EX5 Ref and Rot,128,SPN priming,Makin ,under review,PLOSONE,,,
18,EX5 Ref and Rot,129,SPN priming,Makin ,under review,PLOSONE,,,
18,EX5 Ref and Rot,130,SPN priming,Makin ,under review,PLOSONE,,,
19,N/A,131,SPN priming old Rot,Makin ,unpublished,,,,
19,N/A,132,SPN priming old Rot,Makin ,unpublished,,,,
19,N/A,133,SPN priming old Rot,Makin ,unpublished,,,,
19,N/A,134,SPN priming old Rot,Makin ,unpublished,,,,
19,N/A,135,SPN priming old Rot,Makin ,unpublished,,,,
19,N/A,136,SPN priming old Rot,Makin ,unpublished,,,,
20,N/A,137,SPN priming black to white Ident,Makin ,unpublished,,,,
20,N/A,138,SPN priming black to white Ident,Makin ,unpublished,,,,
20,N/A,139,SPN priming black to white Ident,Makin ,unpublished,,,,
20,N/A,140,SPN priming black to white Ident,Makin ,unpublished,,,,
21,N/A,141,SPN priming Glass to Ref,Makin ,unpublished,,,,
21,N/A,142,SPN priming Glass to Ref,Makin ,unpublished,,,,
21,N/A,143,SPN priming Glass to Ref,Makin ,unpublished,,,,
21,N/A,144,SPN priming Glass to Ref,Makin ,unpublished,,,,
22,N/A,145,Anti symmetry variable density,Makin ,unpublished,,,,
22,N/A,146,Anti symmetry variable density,Makin ,unpublished,,,,
22,N/A,147,Anti symmetry variable density,Makin ,unpublished,,,,
22,N/A,148,Anti symmetry variable density,Makin ,unpublished,,,,
22,N/A,149,Anti symmetry variable density,Makin ,unpublished,,,,
22,N/A,150,Anti symmetry variable density,Makin ,unpublished,,,,
23,N/A,151,AS checkerboards,Makin ,unpublished,,,,
23,N/A,152,AS checkerboards,Makin ,unpublished,,,,
23,N/A,153,AS checkerboards,Makin ,unpublished,,,,
23,N/A,154,AS checkerboards,Makin ,unpublished,,,,
24,N/A,155,Attentional Spotlight,Derpsch  ,under review,,,,
24,N/A,156,Attentional Spotlight,Derpsch  ,under review,,,,
24,N/A,157,Attentional Spotlight,Derpsch  ,under review,,,,
24,N/A,158,Attentional Spotlight,Derpsch  ,under review,,,,
25,EX1 Color and Shape,159,Yiovi Memory,Derpsch  ,unpublished,,,,
25,EX1 Color and Shape,160,Yiovi Memory,Derpsch  ,unpublished,,,,
25,EX1 Color and Shape,161,Yiovi Memory,Derpsch  ,unpublished,,,,
25,EX1 Color and Shape,162,Yiovi Memory,Derpsch  ,unpublished,,,,
25,EX2 Symm probe Symm,163,Yiovi Memory,Derpsch  ,unpublished,,,,
25,EX2 Symm probe Symm,164,Yiovi Memory,Derpsch  ,unpublished,,,,
26,N/A,165,Yiovi Alcohol,Derpsch  ,unpublished,,,,
26,N/A,166,Yiovi Alcohol,Derpsch  ,unpublished,,,,
27,N/A,167,Holographic Glass V1,Makin ,unpublished,,,,
27,N/A,168,Holographic Glass V1,Makin ,unpublished,,,,
27,N/A,169,Holographic Glass V1,Makin ,unpublished,,,,
28,EX1 control,170,Sliding occluder frame of reference,Rampone  ,unpublished,,,,
28,EX2 rotation,171,Sliding occluder frame of reference,Rampone  ,unpublished,,,,
29,N/A,172,Gerbino Zero,Bertamini  ,unpublished,,,,
29,N/A,173,Gerbino Zero,Bertamini  ,unpublished,,,,
30,EX1 Gerbino Fixed,174,Gerbino,Bertamini  ,unpublished,,,,
30,EX1 Gerbino Fixed,175,Gerbino,Bertamini  ,unpublished,,,,
30,EX2 Gerbino Black Disc Col,176,Gerbino,Bertamini  ,unpublished,,,,
30,EX2 Gerbino Black Disc Col,177,Gerbino,Bertamini  ,unpublished,,,,
30,EX3 Gerbino Black Disc Reg,178,Gerbino,Bertamini  ,unpublished,,,,
30,EX3 Gerbino Black Disc Reg,179,Gerbino,Bertamini  ,unpublished,,,,
30,EX4 Gerbino Centre,180,Gerbino,Bertamini  ,unpublished,,,,
30,EX4 Gerbino Centre,181,Gerbino,Bertamini  ,unpublished,,,,
30,EX5 Gerbino PNG1and3,182,Gerbino,Bertamini,unpublished,,,,
30,EX5 Gerbino PNG1and3,183,Gerbino,Bertamini  ,unpublished,,,,
30,EX5 Gerbino PNG1and3,184,Gerbino,Bertamini  ,unpublished,,,,
30,EX5 Gerbino PNG1and3,185,Gerbino,Bertamini,unpublished,,,,
31,EX1 Shape,186,Amodal SPN,Rampone  ,unpublished,,,,
31,EX1 Shape,187,Amodal SPN,Rampone  ,unpublished,,,,
31,EX2 Shape with position,188,Amodal SPN,Rampone  ,unpublished,,,,
31,EX2 Shape with position,189,Amodal SPN,Rampone  ,unpublished,,,,
31,EX3 Colour,190,Amodal SPN,Rampone  ,unpublished,,,,
31,EX3 Colour,191,Amodal SPN,Rampone  ,unpublished,,,,
31,EX4 Pointer,192,Amodal SPN,Rampone  ,unpublished,,,,
31,EX4 Pointer,193,Amodal SPN,Rampone  ,unpublished,,,,
32,Ex1 ContrastStereoCombined,194,Elena Stereo,Karakashevska,unpublished,,,,
32,Ex1 ContrastStereoCombined,195,Elena Stereo,Karakashevska,unpublished,,,,
32,Ex1 ContrastStereoCombined,196,Elena Stereo,Karakashevska,unpublished,,,,
32,EX2 FigureGround,197,Elena Stereo,Karakashevska,unpublished,,,,
32,EX2 FigureGround,198,Elena Stereo,Karakashevska,unpublished,,,,
33,EX1 Regularity,199,Slant Solid Poly,Makin ,unpublished,,,,
33,EX1 Regularity,200,Slant Solid Poly,Makin ,unpublished,,,,
33,EX1 Regularity,201,Slant Solid Poly,Makin ,unpublished,,,,
33,EX1 Regularity,202,Slant Solid Poly,Makin ,unpublished,,,,
33,EX2 Luminance,203,Slant Solid Poly,Makin ,unpublished,,,,
33,EX2 Luminance,204,Slant Solid Poly,Makin ,unpublished,,,,
33,EX2 Luminance,205,Slant Solid Poly,Makin ,unpublished,,,,
33,EX2 Luminance,206,Slant Solid Poly,Makin ,unpublished,,,,
34,N/A,207,AMY Black White,Bertamini,unpublished,,,,
34,N/A,208,AMY Black White,Bertamini,unpublished,,,,
34,N/A,209,AMY Black White,Bertamini,unpublished,,,,
35,EX1 Disc Color,210,Amodal Adel,Bertamini,unpublished,,,,
35,EX1 Disc Color,211,Amodal Adel,Bertamini,unpublished,,,,
35,EX1 Disc Color,212,Amodal Adel,Bertamini,unpublished,,,,
35,EX2 Disc Reg,213,Amodal Adel,Bertamini,unpublished,,,,
35,EX2 Disc Reg,214,Amodal Adel,Bertamini,unpublished,,,,
35,EX2 Disc Reg,215,Amodal Adel,Bertamini,unpublished,,,,
36,N/A,216,Stefano Rep Sup,Lawson,unpublished,,,,
36,N/A,217,Stefano Rep Sup,Lawson,unpublished,,,,
36,N/A,218,Stefano Rep Sup,Lawson,unpublished,,,,
37,N/A,219,Delayed discrimintion central mask color,Makin,unpublished,,,,
38,N/A,220,SPN priming up and down,Makin,unpublished,,,,
38,N/A,221,SPN priming up and down,Makin,unpublished,,,,
38,N/A,222,SPN priming up and down,Makin,unpublished,,,,
38,N/A,223,SPN priming up and down,Makin,unpublished,,,,
39,N/A,224,SPN priming temporal frequency,Makin,unpublished,,,,
39,N/A,225,SPN priming temporal frequency,Makin,unpublished,,,,
39,N/A,226,SPN priming temporal frequency,Makin,unpublished,,,,
39,N/A,227,SPN priming temporal frequency,Makin,unpublished,,,,
40,EX1 Crowding HV,228,Crowding,Bertamini,unpublished,,,,
40,EX1 Crowding HV,229,Crowding,Bertamini,unpublished,,,,
40,EX1 Crowding HV,230,Crowding,Bertamini,unpublished,,,,
40,EX1 Crowding HV,231,Crowding,Bertamini,unpublished,,,,
40,EX1 Crowding HV,232,Crowding,Bertamini,unpublished,,,,
40,EX1 Crowding HV,233,Crowding,Bertamini,unpublished,,,,
40,EX2 Crowding Matched,234,Crowding,Bertamini,unpublished,,,,
40,EX2 Crowding Matched,235,Crowding,Bertamini,unpublished,,,,
40,EX2 Crowding Matched,236,Crowding,Bertamini,unpublished,,,,
40,EX2 Crowding Matched,237,Crowding,Bertamini,unpublished,,,,
40,EX2 Crowding Matched,238,Crowding,Bertamini,unpublished,,,,
40,EX2 Crowding Matched,239,Crowding,Bertamini,unpublished,,,,
40,EX2 Crowding Matched,240,Crowding,Bertamini,unpublished,,,,
40,EX2 Crowding Matched,241,Crowding,Bertamini,unpublished,,,,
40,EX3 Crowding BW,242,Crowding,Bertamini,unpublished,,,,
40,EX3 Crowding BW,243,Crowding,Bertamini,unpublished,,,,
40,EX3 Crowding BW,244,Crowding,Bertamini,unpublished,,,,
40,EX3 Crowding BW,245,Crowding,Bertamini,unpublished,,,,
40,EX3 Crowding BW,246,Crowding,Bertamini,unpublished,,,,
40,EX3 Crowding BW,247,Crowding,Bertamini,unpublished,,,,
40,EX3 Crowding BW,248,Crowding,Bertamini,unpublished,,,,
40,EX3 Crowding BW,249,Crowding,Bertamini,unpublished,,,,
